Compound	Class	nring	nrot	ndonr	naccr	dis1	dis2	dis3	0c	1c	2c	3cP	3cC	4cPC	3cCH	4cCH	5cCH	6cCH	0cv	1cv	2cv	3cvP	3cvC	4cvPC	3cvCH	4cvCH	5cvCH	6cvCH	nhyd	nhal	nhet	nhev	ncof	ncocl	ncoi	ncarb	nphos	nsulph	noxy	nnitro	1k	2k	3k	1ka	2ka	3ka	phi	Shev	Scar	Shet	Shal	S(1)	S(2)	S(3)	S(4)	S(5)	S(6)	S(7)	S(8)	S(9)	S(10)	S(11)	S(12)	S(13)	S(14)	S(15)	S(16)	S(17)	S(18)	S(19)	S(20)	S(21)	S(22)	S(24)	S(25)	S(26)	S(27)	S(28)	S(29)	S(30)	S(31)	S(32)	S(33)	S(34)	S(35)	S(36)	S(37)	S(38)	S(39)	S(40)	S(41)	S(42)	S(43)	S(51)	S(54)	S(55)	S(56)	S(57)	S(60)	S(80)	Wmol	Vmc	pi	ea	eb	q+	q-	m	h	SN	IP	A	mcp	cen	w	AS	VS	MS	PSA	Sapc	Sanc	Sapcw	Sancw	Svpc	Svnc	Svpcw	Svncw
Fluocinonide	-1	5	4	1	9	16.0248	19.7649	29.6797	25.7672	16.1213	17.5252	14.9593	1.8388	3.9827	0	0	0.1311	0.127	20.5999	12.1317	11.6426	9.4422	0.7944	1.9396	0	0	0.083	0.0875	32	2	9	35	2	0	0	26	0	0	7	0	26.6009	8.2482	3.413	24.8655	7.3687	2.982	5.235	95.0833	-3.7577	98.841	32.8668	38.5756	0	0	0	0	0	0	0	2.0219	0	0	-11.8117	-0.5121	0	0	7.8212	0	-0.7041	0	3.7465	0	-5.4689	0	-1.5194	0	0	-7.633	0	0	0	0	0	0	0	0	0	0	11.4601	37.0736	17.4405	0	32.8668	0	0	0	0	0	0	0	494.5314	1.9315	0.1711	0.115	0.1497	0.2217	0.3354	6.9714	4.7932	0.2086	10.5473	0.9608	-5.7541	5.7541	79.35	641.0288	468.5256	371.9785	86.5241	385.5271	255.5017	42.1951	58.955	244.0312	224.4944	27.9854	44.1095
Fluorometholone	-1	4	1	2	5	12.8376	16.6542	23.5812	19.9912	12.4152	13.2457	12.5563	1.3707	3.4248	0	0	0.0722	0.127	16.4588	9.9726	9.748	8.7031	0.7846	1.983	0	0	0.0722	0.0875	29	1	5	27	1	0	0	22	0	0	4	0	20.28	6.0096	2.2826	19.0068	5.3835	1.9975	3.7897	69.3333	5.9892	63.3441	16.8728	72.3595	0	0	0	0	0	0	0	1.2709	0	0	-20.0055	-1.3427	0	0	7.0088	0	1.4258	0	4.5651	0	-1.9805	0	0.305	0	0	-5.335	0	0	0	0	0	0	0	0	0	0	22.2619	24.2094	0	0	16.8728	0	0	0	0	0	0	0	376.4671	1.6058	0.1753	0.1233	0.143	0.2111	0.3254	8.652	4.8707	0.2053	9.8774	0.136	-5.0067	5.0067	61.046	538.0033	382.3492	305.2657	63.983	395.5196	142.4837	46.0748	36.2103	224.731	157.6183	25.913	32.4952
Fluoxymesterone	-1	4	0	2	4	11.891	14.1494	21.7299	17.5436	11.0611	12.0122	11.2558	0.8728	2.357	0	0	0.0722	0.1346	14.9398	9.3941	9.4376	8.6043	0.5124	1.5104	0	0	0.0722	0.1062	29	1	4	24	1	0	0	20	0	0	3	0	17.4156	5.0394	1.9606	16.7136	4.7015	1.8033	3.2742	57.8333	7.5058	50.3275	16.6346	69.1778	0	0	0	0	0	0	0	0.6131	0	0	-22.8087	0	0	0	5.7937	0	4.047	0	1.6452	0	-1.2336	0	0.98	0	0	-3.7265	0	0	0	0	0	0	0	0	0	0	21.8625	11.8304	0	0	16.6346	0	0	0	0	0	0	0	336.4457	1.4086	0.1824	0.1257	0.1441	0.2076	0.3354	7.5684	5.049	0.1981	9.9904	-0.1077	-4.9414	4.9414	61.641	497.2569	351.7559	278.8573	50.1631	391.1887	106.0681	42.8698	27.4149	220.5516	131.2043	23.7595	26.6438
Flutamide	-1	1	4	1	6	10.5768	13.809	20.3992	14.7925	8.6249	9.0165	5.8242	1.3604	3.0903	0	0	0	0.068	10.1153	5.2912	4.1307	2.2906	0.6049	0.9325	0	0	0	0.0241	11	3	8	19	3	0	0	11	0	0	3	2	17.0526	6.6352	4.795	14.9392	5.2496	3.668	4.1276	68.75	-2.8194	71.5694	38.0027	0	0	0	0	0	0	0	0	0	2.6554	0	-0.326	-0.2761	0	0	3.1496	0	0	0	0	2.3381	-0.4125	0	0	-2.5641	0	-4.8601	0	0	0	0	0	0	0	0	-1.1142	0	0	32.4225	0	0	38.0027	0	0	0	0	0	0	0	276.2147	1.3457	0.133	0.1091	0.1533	0.2483	0.3552	8.3999	4.6777	0.2138	10.9073	1.5519	-6.2296	6.2296	90.7653	448.9822	260.4335	233.5352	60.7978	217.5943	231.3879	27.074	49.262	103.3529	157.0806	16.3369	30.8863
Fluticasone	-1	4	3	2	7	13.8442	18.0618	26.0188	22.2757	13.8739	14.244	13.6098	1.4903	3.8826	0	0	0.0589	0.127	18.0168	11.2798	10.6811	9.3894	0.8846	2.2291	0	0	0.0589	0.0875	27	3	8	30	3	0	0	22	0	1	4	0	23.168	7.25	2.7335	22.0875	6.6884	2.4773	4.9243	86.5	-6.1136	92.6136	45.0858	75.218	0	0	0	0	0	0	0	1.3154	0	-0.9033	-20.7106	0	0	0	4.7891	0	-1.1948	0	3.6778	0	-5.3257	0	-1.12	0	0	-6.94	0	0	0	0	0	0	0	0	0	0	22.5843	24.5729	0	0	45.0858	0	0	0	0.3705	0	0	0	444.5081	1.8888	0.1628	0.1145	0.1446	0.2295	0.3209	7.4941	4.5146	0.2215	10.0464	1.0173	-5.5319	5.5319	69.0765	591.2001	415.2825	337.2712	83.4406	371.9385	219.2616	43.5741	45.1722	230.1167	185.1658	25.5145	35.1493
Fluvastatin	-1	3	8	3	5	15.8589	20.5903	29.2657	21.8361	14.2738	13.3476	9.8984	2.4047	4.3782	0	0	0.0642	0.1667	16.9948	9.9256	7.6619	4.998	1.0319	1.8158	0	0	0.028	0.0556	26	1	6	30	1	0	0	24	0	0	4	1	24.6387	11.2277	6.2925	21.8981	9.3428	5.0436	6.8196	77.6667	22.4392	55.2275	13.4983	91.1795	0	0	0	0	0	0	0	-2.2465	3.3884	0	-16.8391	-5.6971	0	0	4.1216	0	-0.4915	0	3.3492	14.2322	-2.0072	0	1.6745	1.5604	0	0	0	0	0	0	0	0	0	0	2.1438	0	28.86	10.7254	0	0	13.4983	0	0	0	0	0	0	0	411.4721	2.1447	0.1622	0.1259	0.1259	0.2535	0.3926	4.1671	4.148	0.2411	8.1676	-0.1284	-4.0196	4.0196	33.5095	676.3116	438.6747	388.0029	69.5027	465.4898	210.8218	62.005	43.15	234.8613	203.8134	29.2353	36.8502
Formoterol	-1	2	7	4	4	16.265	20.8636	32.4747	17.5267	11.5452	9.8201	8.2181	1.4112	3.5102	0	0	0	0.1514	13.6915	7.6331	5.4577	3.853	0.6328	1.2951	0	0	0	0.0518	22	0	6	24	0	0	0	18	0	0	4	2	20.3136	10.2222	6.0464	18.0939	8.5598	4.8707	6.4533	60	18.7602	41.2398	0	62.4065	0	0	0	3.4392	0	0	0	-0.555	-2.5176	0	-3.8074	-6.5376	0	0	3.6281	0	0.3318	0	0	12.3282	-0.7141	0	0	2.7049	0	0	0	0	3.2574	0	0	0	0	0	0	0	19.9303	10.5193	5.1341	0	0	0	0	0	0	0	0	0	330.3828	1.8104	0.1544	0.1237	0.1346	0.2477	0.3823	6.4922	4.4752	0.2235	9.0441	0.0936	-4.5688	4.5688	46.7089	593.1058	363.0543	318.1558	90.4602	409.5064	183.5994	54.8563	44.3421	208.6066	154.4476	26.6209	30.3413
Fosfomycin	-1	1	1	2	4	6.0502	7.7302	10.9833	6.3618	3.5159	4.1855	2.425	0.3536	0.5893	0.2357	0	0	0	5.2073	3.9044	3.508	2.2917	0.3187	0.603	0.1361	0	0	0	7	0	5	8	0	0	0	3	1	0	4	0	6.125	1.4911	0.9184	5.7905	1.3312	0.8001	0.9635	27.9722	0.5577	27.4145	0	52.3911	0	0	0	0	0	0	0	0	0	0	-6.8356	0	0	0	1.6287	0	0	0	0	0	-1.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.8013	4.5181	0	0	0	0	0	0	0	0	0	138.0597	0.6813	0.0697	0.1281	0.1527	0.3075	1.156	5.1869	5.5994	0.1786	10.8485	-0.3504	-5.249	5.249	77.1387	255.2679	121.309	113.7036	67.8025	134.8804	120.3875	38.779	83.4819	58.8646	62.4444	43.6783	37.0629
Furazolidone	-1	2	3	0	6	10.9923	12.8097	20.2634	11.5436	7.6647	6.9288	5.5094	1.1065	2.4456	0	0	0.2357	0	8.0291	4.3913	2.9152	1.8563	0.266	0.4582	0	0	0.0797	0	7	0	8	16	0	0	0	8	0	0	5	3	12.4567	5.5577	3.25	10.4576	4.2072	2.3179	2.7498	49	3.7574	45.2426	0	0	0	0	0	0	0	0	0	0	1.8489	0	-0.0934	0	1.0626	0	0	0	0.6454	0	1.2218	2.6039	0	0	0	-0.1696	0	0	0	0	0	0	0	3.7646	0	0	-0.6513	0	0	31.5792	4.6317	4.813	0	0	0	0	0	0	0	0	225.1604	1.1807	0.1519	0.1056	0.1476	0.1886	0.3486	8.5726	4.2192	0.237	10.3413	1.9029	-6.1221	6.1221	79.0685	407.657	210.2962	198.444	85.4273	194.4464	213.2106	29.0803	51.3766	86.079	124.2172	14.8235	23.3279
Furosemide	-1	2	5	3	5	13.1676	15.9611	23.5159	15.621	9.7867	9.817	6.8821	1.1938	2.8759	0	0	0.1443	0.0556	12.1101	7.5711	6.0483	4.0177	0.6138	1.5416	0	0	0.0393	0.0208	11	1	9	21	0	1	0	12	0	1	5	2	17.3554	7.0508	4.4875	15.39	5.78	3.5556	4.2359	63.5278	5.7918	57.736	5.8358	31.1036	11.6766	0	0	0	0	0	0	0	1.4334	0	0	-1.1763	0	0	0	0	0.2206	0	0	6.9904	0	0	-1.3069	-0.1122	0	0	0	4.9873	0	0	0	2.8218	0	0	0	0	9.1618	33.9303	0	5.105	0	0	0	-4.106	0	0	5.8358	0	330.7423	1.689	0.1505	0.1098	0.1373	0.2779	0.8946	5.0978	3.9138	0.2555	9.307	1.4794	-5.3932	5.3932	56.9198	503.0675	292.6404	266.8884	115.8387	300.9485	202.119	51.965	93.4429	161.2936	131.3468	52.8422	51.8661
Gabapentin	-1	1	3	2	2	7.6661	9.9302	15.2657	9.0271	5.6843	5.0122	3.5055	0.4082	0.2041	0	0	0	0.0884	7.3826	4.6037	3.8353	2.8735	0.0645	0.0323	0	0	0	0.0884	17	0	3	12	0	0	0	9	0	0	2	1	10.0833	4.2969	2.7778	9.5175	3.8956	2.4675	3.0897	30.4167	5.5109	24.9057	0	28.0243	0	0	6.5633	0	0	0	0	0	0	0	-7.0943	0	0	0	0	0	6.2964	0	0	0	0	0	-0.7062	0	0	-0.0793	5.6232	0	0	0	0	0	0	0	0	0	0	19.2826	0	0	0	0	0	0	0	0	0	0	171.2388	0.9457	0.1237	0.14	0.1422	0.231	0.398	2.851	5.667	0.1765	9.8003	-1.5337	-4.1333	4.1333	48.4075	341.4979	206.103	170.7171	55.5091	290.1638	51.3341	31.9938	17.0029	136.3178	69.7852	15.5392	15.8353
Gemfibrozil	-1	1	6	1	3	12.7376	16.2993	24.2141	13.7591	8.3262	8.0447	5.8336	0.9797	2.1509	0	0	0	0.068	11.6171	6.2621	5.41	3.1263	0.4156	0.6928	0	0	0	0.0241	22	0	3	18	0	0	0	15	0	0	3	0	16.0556	6.9632	5.2675	14.7101	6.0052	4.4528	4.9076	42.9167	17.2764	25.6403	0	29.3408	0	0	0	0	0	0	0	0	2.3838	0	-4.2636	-0.5526	0	0	7.5241	0	1.9175	0	0	6.0965	0	0	-0.7553	3.1692	0	-0.6756	0	0	0	0	0	0	0	0	0	0	0	19.9405	5.6998	0	0	0	0	0	0	0	0	0	250.337	1.4675	0.1353	0.1293	0.1319	0.2483	0.3759	1.0713	4.6217	0.2164	8.7751	-0.4682	-4.1535	4.1535	39.8646	504.8697	302.8525	265.0681	42.2454	396.02	108.8497	41.6768	25.9471	179.7043	123.1483	19.8013	23.2913
Gentamicin	-1	3	7	8	7	16.319	19.7119	31.1076	24.4993	15.4944	14.7057	12.5389	2.2177	6.0719	0	0	0	0.1615	19.9633	11.7752	9.9104	7.2413	1.1949	2.6448	0	0	0	0.1124	43	0	12	33	0	0	0	21	0	0	7	5	27.5853	11.3728	6.0491	27.1132	11.0612	5.8504	9.0881	80.25	-0.6053	80.8553	0	102.1422	0	0	22.2713	6.1725	0	0	0	0	0	0	-48.8355	0	0	0	7.0773	0	1.7706	0	0	0	-8.1662	0	0	0	0	-1.2869	18.7943	0	6.0677	0	0	0	0	0	0	0	32.2723	0	23.721	0	0	0	0	0	0	0	0	0	477.6	2.4113	0.1376	0.1415	0.1382	0.2139	0.368	4.1283	5.5429	0.1804	9.3984	-1.6874	-3.8555	3.8555	41.197	716.2119	525.633	419.6168	184.8205	602.4436	113.7683	63.422	33.3402	345.3381	180.2949	37.32	41.8343
Glibenclamide	-1	3	8	3	5	19.7967	23.4816	40.6445	23.8467	15.78	14.4139	11.1243	1.6684	3.5875	0	0	0	0.2534	19.9684	12.684	10.0272	7.0885	0.8885	1.716	0	0	0	0.1539	28	1	10	33	0	1	0	23	0	1	5	3	27.5853	13.3472	8.5612	24.8839	11.4005	7.1153	8.5967	83.5278	19.2311	64.2967	5.9648	0	4.8989	0	0	0	0	0	0	0	5.9221	0	-3.1541	0	0	0	1.4763	0	5.7641	0	0	10.9803	0.0124	0	-0.7036	2.0194	0	0	0	0	0	0	0	2.0735	0	0	0	0	0	49.5042	5.1902	0	0	0	0	-3.967	0	0	5.9648	0	494.0043	2.6134	0.1455	0.1088	0.1369	0.2467	0.8792	8.3217	3.846	0.26	9.2764	1.5844	-5.4304	5.4304	56.7085	797.5014	497.0501	441.415	115.1984	520.3328	277.1686	72.7116	87.2208	257.8014	239.2488	66.1836	61.5326
Glimepiride	-1	3	7	3	5	23.0754	26.6912	39.2681	24.8801	16.1014	15.0934	11.8973	2.066	4.6649	0	0	0.0786	0.1667	20.8342	13.2923	10.8478	7.861	1.2415	2.4884	0	0	0.0395	0.1111	34	0	10	34	0	0	0	24	0	1	5	4	28.5694	12.9919	7.998	25.61	10.9439	6.5364	8.2433	85.75	19.1055	66.6445	0	0	4.9378	0	0	0	0	0	0	0	3.3026	0	-3.2299	-0.3607	0	0	5.9194	0	5.4066	0	0	6.1447	0.6274	0	0.45	0.8059	0	0	0	0	0	0	0	2.0797	0	0	0	0	0	61.8575	0	0	0	0	0	-3.9826	0	0	0	0	490.6164	2.6576	0.1466	0.1084	0.146	0.2423	0.8708	12.3629	4.2791	0.2337	10.1863	1.6281	-5.9072	5.9072	74.6591	823.5191	527.0554	460.2067	124.4915	620.3623	203.1567	78.82	89.8235	307.8151	219.2403	71.696	65.7924
Glipizide	-1	3	7	3	6	21.2124	24.7119	37.784	22.2694	14.8313	13.6834	10.424	1.5323	3.1739	0	0	0	0.2687	18.2434	11.8076	9.2892	6.4608	0.762	1.4375	0	0	0	0.1465	27	0	10	31	0	0	0	21	0	1	4	5	25.6198	12.4593	8.3731	22.5431	10.251	6.6773	7.4545	78.25	17.6117	60.6383	0	0	4.8781	0	0	0	0	0	0	0	5.0931	0	-2.6418	-0.6441	0	0	1.789	0	5.8453	0	0	9.1466	0.0208	0	-0.6964	1.826	0	0	0	0	0	0	0	2.0718	8.0594	0	0	0	0	48.9708	0	0	0	0	0	-3.9476	0	0	0	0	445.5354	2.4088	0.1493	0.1086	0.1459	0.2492	0.8726	9.1913	4.2841	0.2334	10.1746	1.6065	-5.8905	5.8905	74.3246	750.0923	461.9714	410.5992	126.629	518.5096	231.5827	73.3878	87.5111	240.0147	221.9567	65.3964	60.7142
