Compound	Class	nring	nrot	ndonr	naccr	dis1	dis2	dis3	0c	1c	2c	3cP	3cC	4cPC	3cCH	4cCH	5cCH	6cCH	0cv	1cv	2cv	3cvP	3cvC	4cvPC	3cvCH	4cvCH	5cvCH	6cvCH	nhyd	nhal	nhet	nhev	ncof	ncocl	ncoi	ncarb	nphos	nsulph	noxy	nnitro	1k	2k	3k	1ka	2ka	3ka	phi	Shev	Scar	Shet	Shal	S(1)	S(2)	S(3)	S(4)	S(5)	S(6)	S(7)	S(8)	S(9)	S(10)	S(11)	S(12)	S(13)	S(14)	S(15)	S(16)	S(17)	S(18)	S(19)	S(20)	S(21)	S(22)	S(24)	S(25)	S(26)	S(27)	S(28)	S(29)	S(30)	S(31)	S(32)	S(33)	S(34)	S(35)	S(36)	S(37)	S(38)	S(39)	S(40)	S(41)	S(42)	S(43)	S(51)	S(54)	S(55)	S(56)	S(57)	S(60)	S(80)	Wmol	Vmc	pi	ea	eb	q+	q-	m	h	SN	IP	A	mcp	cen	w	AS	VS	MS	PSA	Sapc	Sanc	Sapcw	Sancw	Svpc	Svnc	Svpcw	Svncw
Adenosine_phosphate	1	3	2	4	7	10.591	14.8414	19.4264	13.5685	9.1302	8.2632	7.7585	1.3316	3.9846	0	0	0.1748	0.068	9.7873	5.6864	4.3118	3.1784	0.5742	1.2555	0	0	0.0742	0.0144	13	0	9	19	0	0	0	10	0	0	4	5	13.9592	5.4131	2.2756	12.2354	4.3842	1.7476	2.8233	52.3333	-0.8152	53.1485	0	88.3212	7.0607	0	0	0	0	0	0	-0.3913	0.051	0	-27.3788	0	0	0	0	0	-0.3904	0	1.3989	1.2749	-4.0968	0	0	0.9982	0	0	0	5.664	0	0	0	4.0508	7.8415	0	1.4553	0	28.7376	0	5.3992	0	0	0	0	0	0	0	0	0	267.2438	1.2693	0.1535	0.1234	0.1312	0.2534	0.3912	1.9791	4.2869	0.2333	8.7016	0.1278	-4.4147	4.4147	41.7743	442.4762	258.4933	231.0613	125.8965	310.3528	132.1234	54.7794	34.0774	144.742	113.7513	22.0637	25.822
Ajmaline	1	3	5	2	2	12.8132	15.0056	21.0449	17.3196	11.558	10.132	9.2214	1.1515	2.9553	0.2357	0	0.068	0.0833	14.3384	8.5684	6.7515	5.3126	0.66	1.4415	0.1491	0	0.0323	0.0278	26	0	4	24	0	0	0	20	0	0	2	2	18.7811	7.7091	3.36	16.2067	6.0916	2.5041	4.1135	53.0833	28.4887	24.5946	0	63.6705	0	0	0	0	0	-5.7407	-1.968	-7.6932	0.5166	0	-0.9853	2.6261	0	0	9.6467	0	3.6141	0	2.4315	8.118	0	2.9512	-0.4847	2.2118	0	0	0	0	0	0	0	0	0	0	4.0304	0	20.5643	0	0	0	0	0	0	0	0	0	0	0	326.4376	0.9939	0.396	0.1201	0.1172	0.2069	0.3748	3.3112	3.4241	0.292	7.2991	0.4509	-3.875	3.875	25.7071	503.5574	324.0002	279.2764	44.6253	405.4215	98.1359	42.0829	18.5727	197.4206	126.5796	19.6769	20.0297
Amantadine	1	3	0	1	0	5.8637	8.8574	12.5819	7.4747	5.2349	5.7282	4.3444	0.6124	1.0133	0	0	0	0.2448	7.052	5.0236	5.2799	4.0856	0.6124	1.0133	0	0	0	0.2448	17	0	1	11	0	0	0	10	0	0	0	1	6.5089	1.8367	0.8779	6.4732	1.8201	0.8683	1.0711	18.25	11.9292	6.3208	0	0	0	0	7.5633	0	0	0	0	0	0	0	-2.5633	0	0	0	0	0	8.5698	0	0	0	3.059	0	0	0	0	0.3003	6.3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.251	0.6694	0.1699	0.1584	0.1409	0.1396	0.3378	1.4123	6.5251	0.1533	9.6746	-3.3756	-3.1495	3.1495	32.3622	317.2319	182.9246	156.2562	24.9364	300.4212	16.8106	27.3447	4.5902	132.3744	50.5501	11.8613	8.6012
Amiodarone	1	3	11	0	3	15.7426	23.7626	33.1035	22.3801	14.9939	12.7462	11.0067	1.7513	4.6964	0	0	0.0786	0.1389	22.6567	13.0462	9.7978	7.0642	1.3412	2.7466	0	0	0.0255	0.0486	29	2	6	31	0	0	2	25	0	0	3	1	25.6198	12.4593	6.3209	24.825	11.8789	5.9567	9.5127	63.74	31.1228	32.6172	4.5377	0	0	0	0	0	0	0	0	0	6.0145	0	-0.3535	-0.0956	0	0	6.4636	0	6.3736	0	0	11.6755	0	0	0.0153	4.9273	1.6675	0	0	0	0	0	0	0	0	2.3328	0	0	0	13.588	6.0878	6.0709	0	0	0	0	0	0	0	4.5377	645.318	2.5884	0.1493	0.1179	0.1351	0.153	0.26	3.3916	4.2092	0.2376	9.0901	0.6716	-4.8809	4.8809	50.1385	753.8682	501.8337	429.5163	37.4653	604.6638	149.2044	63.4188	22.7212	310.3431	191.4906	34.4706	28.6573
Aprindine	1	3	8	0	0	13.0883	20.7281	26.776	16.7778	11.8132	9.7115	8.4429	1.0069	2.7896	0	0	0.0962	0.1854	15.1177	9.4226	6.7402	5.3259	0.6572	1.6917	0	0	0.0722	0.0599	30	0	2	24	0	0	0	22	0	0	0	2	18.7811	9.6298	5.0193	17.037	8.3431	4.1979	5.9226	42.8333	37.6706	5.1628	0	0	0	0	0	0	0	0	0	0	7.1126	0	-1.1994	0	0	0	4.5121	0	8.207	0	0	19.9138	0.5986	0	0	4.4391	0	0	0	0	0	0	0	0	0	2.5204	2.6424	0	0	0	0	0	0	0	0	0	0	0	0	0	322.4924	1.812	0.1538	0.1289	0.1323	0.1379	0.4011	1.3461	4.621	0.2164	8.8167	-0.4253	-4.1957	4.1957	40.6739	601.9463	385.3027	335.8058	8.7572	491.3428	110.6035	51.6106	15.058	231.0419	154.2608	22.6618	22.3812
Astemizole	1	5	8	1	3	19.9389	27.2402	37.5417	23.3299	16.6742	14.7244	12.599	1.9148	4.3241	0	0	0.0786	0.3333	19.5832	11.9931	8.9951	6.7051	0.9273	1.8701	0	0	0.025	0.1479	31	1	6	34	1	0	0	28	0	0	1	4	25.6413	12.497	6.8651	22.5662	10.3663	5.4832	6.8802	70.5	38.5186	31.9814	13.38	0	5.3146	0	0	0	0	0	0	0	10.2226	0	-2.1377	-0.3966	0	0	1.6994	0	7.1015	0	0	23.2803	0.3898	0	0.8909	5.1567	0	0	0	0	0	0	0	8.5983	0	2.5455	2.207	0	0	0	5.2505	0	13.38	0	0	0	0	0	0	0	458.5775	2.3907	0.1732	0.1223	0.131	0.2468	0.3981	2.29	4.2242	0.2367	8.6833	0.2348	-4.459	4.459	41.9953	768.2983	499.524	434.9362	41.6096	539.8474	228.4509	61.5587	29.3291	267.3925	232.1315	29.6804	30.4719
Atropine	1	3	5	1	3	12.8731	16.7895	23.8245	14.8196	10.1859	8.9772	7.8303	1.2684	3.3013	0	0	0.0962	0.1576	12.4426	7.7696	6.2266	5.0068	0.7715	1.9155	0	0	0.0745	0.0751	23	0	4	21	0	0	0	17	0	0	3	1	15.879	7.0508	3.5046	14.6967	6.2601	3.0255	4.3811	46.6667	16.6516	30.0151	0	29.8253	0	0	0	0	0	0	0	0	1.3648	0	-6.3683	-1.9714	0	0	2.1675	0	4.0499	0	0	9.376	0.5316	0	-0.2938	0.8203	0	0	0	0	0	0	0	0	0	2.4217	0	0	9.5287	12.3624	5.7023	0	0	0	0	0	0	0	0	0	289.3736	1.421	0.1579	0.1274	0.1361	0.2096	0.3589	1.6621	4.7301	0.2114	9.1881	-0.2721	-4.458	4.458	47.0026	521.5439	316.4089	279.3612	46.8828	413.1222	108.4217	47.1154	23.1264	185.7327	130.6762	20.9719	23.0034
Azimilide	1	4	8	0	4	21.9543	24.9742	40.7279	22.5014	15.4912	13.9429	11.6143	2.0498	4.5556	0	0	0.1964	0.1667	19.0001	11.2975	8.6275	6.0716	1.0361	1.835	0	0	0.0694	0.0778	28	1	9	32	0	1	0	23	0	0	3	5	25.1037	12.1094	7.0142	22.666	10.3976	5.847	7.3647	72.1111	24.1257	47.9854	5.9199	0	0	0	0	0	0	0	0	0	5.3936	0	-0.1922	-0.0777	1.1265	0	2.1395	0	7.4779	0	1.4598	10.9183	0	0	-0.3793	2.7242	0	0	0	0	0	0	0	4.1735	0	4.7641	1.1878	0	0	24.8804	0	5.7655	0	0	0	0	0	0	5.9199	0	457.9589	2.4437	0.1679	0.1136	0.1346	0.1643	0.3819	3.9668	3.969	0.2519	9.0468	1.1087	-5.0778	5.0778	51.1686	788.2456	484.7765	433.1491	67.6412	527.4981	260.7475	58.1361	37.476	254.6242	230.1523	28.8633	30.1496
Azithromycin	1	3	7	5	12	16.3232	22.1878	36.1594	39.6705	23.9087	23.9412	19.6342	3.6261	9.188	0	0	0	0.1037	34.184	19.1425	17.1651	12.2076	2.2826	4.741	0	0	0	0.0599	72	0	14	52	0	0	0	38	0	0	12	2	46.3827	18.5078	10.6996	45.5387	17.9516	10.3229	15.721	122.9167	9.2076	113.7091	0	187.2725	0	0	0	0	0	0	0	0	0	0	-70.7116	0	0	0	24.7126	0	1.6234	0	0	0	-12.0666	0	-0.6875	0	0	-4.3743	0	0	0	0	0	0	0	3.8467	0	0	58.1369	14.1976	37.5278	0	0	0	0	0	0	0	0	0	748.993	3.7714	0.1362	0.1338	0.1354	0.2181	0.3468	3.5215	5.0199	0.1992	9.1253	-0.9144	-4.1055	4.1055	42.3046	955.9985	834.2679	681.8797	161.1802	834.1255	121.873	79.809	29.7112	563.6111	270.6568	54.4408	61.7646
Bepridil	1	3	10	0	1	13.0211	20.4098	28.6202	18.8991	13.2203	11.263	8.7057	1.279	2.5159	0	0	0.1443	0.2041	16.8877	10.3784	8.0299	5.1872	0.9706	1.4546	0	0	0.1118	0.0642	34	0	3	27	0	0	0	24	0	0	1	2	21.7027	11.87	7.3956	19.9088	10.4828	6.369	7.7296	49.5	38.2745	11.2255	0	0	0	0	0	0	0	0	0	0	7.6173	0	-0.8833	-0.31	0	0	4.4376	0	8.601	0	0	21.5758	1.0222	0	0	2.638	0	0	0	0	0	0	0	0	0	2.6262	2.511	0	0	0	6.0883	0	0	0	0	0	0	0	0	0	366.5454	2.0926	0.1522	0.1281	0.1264	0.1435	0.3565	1.1638	4.2859	0.2333	8.2211	-0.3508	-3.9351	3.9351	33.1843	657.0678	440.1828	370.719	16.1188	536.7572	120.3106	53.5452	17.3489	268.1138	172.0691	25.3586	25.0201
Chloral_hydrate	1	0	1	2	2	4.6863	6.7848	10.1859	6.0774	2.9434	3.5207	1.7321	0.2887	0.866	0	0	0	0	5.3735	2.5059	3.2842	0.8783	0.0577	0.1964	0	0	0	0	3	3	5	7	0	3	0	2	0	0	2	0	7	1.8519	2.6667	7.79	2.375	3.3791	2.643	26.9167	-3.8773	30.794	14.6968	49.5556	0	0	0	0	0	0	0	0	0	0	-8	0	0	0	0	0	0	0	0	0	-1.9051	0	0	0	0	-1.9722	0	0	0	0	0	0	0	0	0	0	16.0972	0	0	0	0	0	0	0	0	0	14.6968	0	165.4035	0.8662	0.0728	0.1211	0.161	0.2195	0.337	3.3824	5.665	0.1765	11.681	0.351	-6.016	6.016	102.5141	270.2791	137.618	123.851	39.1122	68.1473	202.1318	12.7637	14.1052	29.6157	108.0023	5.13	9.2694
Chloroquine	1	2	8	1	1	15.8332	19.735	29.1036	15.9494	10.6346	8.9874	7.2279	1.2509	2.6316	0	0	0	0.1361	14.528	8.546	6.1709	4.3477	0.7601	1.3716	0	0	0	0.0427	26	1	4	22	0	1	0	18	0	0	0	3	18.3403	9.3333	5.5515	17.0405	8.3487	4.846	6.4667	43.1111	26.6061	16.505	6.0373	0	4.8469	0	0	0	0	0	0	0	4.1822	0	-1.7064	0	0	0	6.6838	0	5.8119	0	0	9.7413	0.4415	0	0	1.8624	2.0651	0	0	0	0	0	0	3.6125	4.3864	2.4688	0	0	0	0	0	0	0	0	0	0	0	0	6.0373	0	319.8765	1.7617	0.1576	0.1181	0.1293	0.2385	0.3962	5.0909	3.9293	0.2545	8.5137	0.6551	-4.5844	4.5844	41.2905	581.4849	362.7548	316.3007	27.7395	409.3728	172.1121	42.5336	16.3204	203.6079	159.1469	20.9364	21.3093
Chlorpromazine	1	3	4	0	0	9.8723	18.9256	21.2941	14.8196	10.1479	9.2749	7.3025	1.4385	2.8709	0	0	0	0.1967	13.9158	8.3312	7.0105	4.9402	1.0669	1.8546	0	0	0	0.0861	19	1	4	21	0	1	0	17	0	1	0	2	15.879	7.0508	3.6735	14.7638	6.3044	3.2033	4.4322	40.7778	28.1194	12.6584	6.2094	0	0	0	0	0	0	0	0	0	6.2832	0	-0.3264	0	0	0	4.2318	0	3.2111	0	0	14.7669	0	0	0	5.9097	0	0	0	0	0	0	0	0	0	2.2257	2.3994	0	0	0	0	0	0	0	0	0	1.824	0	6.2094	0	318.8635	1.66	0.1632	0.1215	0.126	0.1593	0.23	2.5305	3.9379	0.2539	8.1854	0.3097	-4.2475	4.2475	35.5228	526.1361	322.6594	286.37	31.1856	352.4738	173.6624	42.7398	13.4273	161.1063	161.5531	20.6713	15.932
Cisapride	1	3	9	2	5	21.112	25.1651	41.1914	23.0872	15.4054	13.489	11.2082	2.0401	4.6922	0	0	0	0.2069	19.0309	10.8611	8.0805	5.8543	0.9323	1.9076	0	0	0	0.1013	29	2	9	32	1	1	0	23	0	0	4	3	26.6021	13.1853	7.7586	24.4132	11.5808	6.6374	8.8351	77.4444	17.8069	59.6376	19.0418	0	7.7363	0	0	0	0	0	0	0	5.0028	0	-2.1186	0	0	0	3.1263	0	4.4578	0	0	9.0587	-0.2905	0	0	1.7352	0	0	0	5.8042	0	0	0	0	0	2.2832	0	0	0	12.8661	16.5962	0	12.9494	0	0	0	0	0	6.0923	0	465.9512	2.4182	0.149	0.124	0.1314	0.2423	0.418	5.0683	4.3299	0.231	8.7223	0.0626	-4.3924	4.3924	41.7691	765.3226	481.6811	424.7668	80.2688	504.4997	260.8229	58.6462	38.392	258.2636	223.4176	30.9759	35.0486
Clarithromycin	1	3	8	5	14	14.4353	22.1504	31.4635	39.6705	23.9862	23.4784	20.3022	3.5298	9.4314	0	0	0	0.1037	33.3462	18.6065	16.1636	11.8859	2.1011	4.491	0	0	0	0.0599	67	0	15	52	0	0	0	37	0	0	14	1	46.3827	18.5078	10.124	45.2111	17.737	9.6247	15.4213	129.5833	-0.8252	130.4085	0	188.9822	0	0	0	0	0	0	0	0	0	0	-63.8782	-3.4639	0	0	20.9275	0	0.3528	0	0	0	-15.4718	0	-1.2776	0	0	-5.3561	0	0	0	0	0	0	0	1.8599	0	0	57.7882	27.9745	42.7859	0	0	0	0	0	0	0	0	0	749.9346	3.7338	0.1386	0.1313	0.1386	0.236	0.3494	2.7525	5.0528	0.1979	9.4439	-0.6617	-4.3911	4.3911	48.713	914.1429	810.6262	620.9003	178.0746	772.1202	142.0227	77.1735	35.5717	535.6359	274.9903	55.054	65.2965
Cocaine	1	3	5	0	4	12.2341	16.882	22.9377	15.6899	10.6134	9.4301	8.364	1.411	3.8363	0	0	0.0962	0.1474	12.8977	7.6731	6.0584	4.9555	0.7491	1.9705	0	0	0.0745	0.0672	21	0	5	22	0	0	0	17	0	0	4	1	16.8438	7.2664	3.4405	15.3401	6.2814	2.872	4.3799	51.8333	14.4926	37.3407	0	0	0	0	0	0	0	0	0	0	3.8532	0	-0.3403	0	0	0	3.4236	0	2.6664	0	0	8.8902	-0.3384	0	-0.6606	0.5115	0	0	0	0	0	0	0	0	0	2.2306	0	0	0	24.4852	10.6249	0	0	0	0	0	0	0	0	0	303.3572	1.4718	0.154	0.1217	0.1382	0.1566	0.3551	1.5863	4.553	0.2196	9.4001	0.2941	-4.8471	4.8471	53.4847	522.0842	316.6065	282.1734	49.6482	385.6705	136.4137	43.7252	26.7126	170.2723	146.3342	22.3655	26.0495
Disopyramide	1	2	8	1	2	11.6527	16.5947	23.9815	18.4494	11.8916	10.6275	8.4287	1.3801	2.98	0	0	0	0.2041	15.6451	8.9195	7.0259	4.861	0.8286	1.6833	0	0	0	0.0569	29	0	4	25	0	0	0	21	0	0	1	3	21.3018	9.7963	5.0417	19.1291	8.2556	4.0743	6.3169	53.9167	28.3259	25.5907	0	0	0	0	0	0	0	0	0	0	6.2405	0	-1.5417	0	0	0	8.7033	0	1.3645	0	0	17.1472	0.7872	0	0	1.6063	0	-0.926	0	0	0	0	0	0	4.4972	2.3785	0	0	0	12.7383	0	0	0	0	0	0	0	0	0	0	339.4796	1.7732	0.1558	0.1236	0.1365	0.2384	0.417	4.4445	4.5636	0.2191	9.2279	0.1008	-4.6643	4.6643	49.6425	566.1699	379.6071	319.2415	52.2305	436.0863	130.0836	52.2351	24.0982	209.5865	170.0206	25.2669	28.7127
Dobutamine	1	2	7	4	3	17.0749	19.1072	32.8476	15.9494	10.5417	9.373	7.2192	1.457	2.7635	0	0	0	0.1514	12.7889	7.5652	5.6334	3.7487	0.6435	1.0063	0	0	0	0.0518	23	0	4	22	0	0	0	18	0	0	3	1	18.3403	9.3333	6.5744	16.6471	8.0557	5.5415	6.0956	52.1667	20.7425	31.4242	0	85.3492	0	0	0	3.7532	0	0	0	0	-7.8112	0	-5.8006	-1.6092	0	0	2.1475	0	3.6095	0	0	12.2429	0.3884	0	0	2.354	0	0	0	0	3.4533	0	0	0	0	0	0	0	27.9709	0	0	0	0	0	0	0	0	0	0	0	301.3846	1.6836	0.151	0.1268	0.1326	0.2418	0.2907	2.4631	4.5274	0.2209	8.8382	-0.2166	-4.3108	4.3108	42.0668	573.0293	345.8733	307.7483	71.8786	402.4343	170.595	52.5094	33.5016	189.0427	156.8306	22.9469	25.2595
Dofetilide	1	2	11	2	5	20.1431	22.5769	37.9192	21.4934	13.4999	13.9165	8.1118	1.1052	2.0557	0	0	0	0.1667	18.3852	12.743	10.3684	5.1517	0.5762	1.0589	0	0	0	0.0556	27	0	10	29	0	0	0	19	0	2	5	3	25.2622	11.5714	11.26	22.8846	9.8792	9.5695	7.7959	75	24.0452	50.9548	0	0	9.1199	0	0	0	0	0	0	0	6.0843	0	-0.5706	-0.2737	0	0	4.2312	0	2.9073	0	0	14.0709	0	0	0	2.8358	0	0	0	0	0	0	0	4.8468	0	2.1411	0	0	0	44.8228	5.6919	0	0	0	0	-6.5478	0	0	0	0	441.5594	2.5224	0.1407	0.1094	0.1377	0.2582	0.8889	4.0826	3.9138	0.2555	9.3479	1.5203	-5.4341	5.4341	57.7857	733.9559	453.992	403.7897	120.7576	495.0348	238.9211	82.5326	143.5813	244.2525	209.7395	96.422	83.9805
Domperidone	1	5	5	2	2	17.2261	20.9195	33.8857	20.6646	14.5974	13.4294	11.6382	1.9836	4.8158	0	0	0.1571	0.2347	17.3606	10.7746	8.4234	6.3735	0.9845	2.0918	0	0	0.0559	0.1164	24	1	8	30	0	1	0	22	0	0	2	5	21.8253	9.4694	4.5779	19.2088	7.8124	3.6249	5.0022	66.6111	23.9098	42.7013	6.0513	0	0	0	0	0	9.4267	0	0	0	5.4587	0	-1.4424	0	0	0	0	0	6.3113	0	0	13.3415	0.1944	0	0	0.5122	3.5504	0	0	0	0	5.8306	0	0	0	2.4237	0	3.7016	0	24.694	0	0	0	0	0	0	0	0	6.0513	0	425.9169	1.9953	0.1781	0.1234	0.1328	0.2791	0.4221	5.1907	4.3675	0.229	8.8585	0.1236	-4.491	4.491	44.0441	670.8299	423.0308	374.0197	67.6234	434.4407	236.3892	60.3565	40.5653	231.6399	191.391	29.9481	30.3611
Dopamine	1	1	2	3	2	8.7406	11.4437	18.3168	8.2676	5.2364	4.4223	3.4037	0.6755	1.514	0	0	0	0.068	6.118	3.447	2.3617	1.4728	0.247	0.4121	0	0	0	0.0241	11	0	3	11	0	0	0	8	0	0	2	1	9.0909	4.1327	2.5	8.199	3.4791	2.0119	2.5932	30	6.7289	23.2711	0	54.4541	0	0	5.832	0	0	0	0	0	-4.8696	0	-1.8535	-1.6712	0	0	0	0	1.262	0	0	4.7127	0	0	0	0.7542	0	0	5.3045	0	0	0	0	0	0	0	0	0	17.9666	0	0	0	0	0	0	0	0	0	0	0	153.1804	0.889	0.1355	0.1271	0.1324	0.2415	0.3487	3.3972	4.5327	0.2206	8.8207	-0.2446	-4.2881	4.2881	41.672	334.9959	176.7486	162.076	63.1657	231.5651	103.4309	32.42	22.475	93.4521	83.2965	12.5723	14.4089
Droperidol	1	4	6	1	3	19.0626	21.8905	36.5157	19.5099	13.6142	12.2077	10.3667	1.7114	4.0614	0	0	0.0786	0.25	15.5277	9.5195	7.0624	5.1905	0.7062	1.5059	0	0	0.028	0.1012	22	1	6	28	1	0	0	22	0	0	2	3	21.2404	9.8713	5.2016	18.3769	7.9412	3.9949	5.212	67.1667	22.8096	44.357	12.943	0	0	0	0	0	4.6678	0	0	1.089	6.3561	0	-0.5786	-0.4665	0	0	0	0	4.4114	0	2.0903	13.3909	0	0	1.0553	0.119	1.7428	0	0	0	0	2.8933	0	0	0	2.2791	0	1.7547	0	24.4869	0	0	12.943	0	0	0	0	0	0	0	379.4331	1.8904	0.1705	0.1186	0.1331	0.2785	0.396	5.4994	4.1435	0.2413	8.8939	0.6069	-4.7504	4.7504	46.7512	644.9644	395.0669	353.9205	51.393	424.2861	220.6783	56.1645	41.5623	210.7943	184.2725	26.7689	30.3303
Ephedrine	1	1	3	2	1	8.1708	10.5821	16.3207	8.9747	5.7532	4.6427	3.9349	0.5948	1.7068	0	0	0	0.1021	7.4887	4.1569	2.9329	2.07	0.3374	0.7321	0	0	0	0.0321	15	0	2	12	0	0	0	10	0	0	1	1	10.0833	4.8889	2.7778	9.2298	4.2367	2.3147	3.2587	26.8333	14.0936	12.7397	0	29.6786	0	0	0	2.9284	0	0	0	0	-0.5057	0	-3.6944	-4.4158	0	0	3.8001	0	0	0	0	9.6658	-0.33	0	0	0.9577	0	0	0	0	3.0132	0	0	0	0	0	0	0	9.7265	0	0	0	0	0	0	0	0	0	0	0	165.2346	1.0147	0.1253	0.1286	0.1384	0.2088	0.3378	1.19	4.9099	0.2037	9.4257	-0.394	-4.5159	4.5159	50.0637	361.3314	205.1229	180.349	32.106	278.9934	82.338	30.9873	15.1524	116.4061	88.7169	12.8086	14.8357
Epinephrine	1	1	3	4	3	9.8729	12.4072	17.959	9.8449	6.1471	5.2937	4.1875	0.8738	2.1061	0	0	0	0.068	7.3581	3.9939	2.8216	1.7817	0.3166	0.5676	0	0	0	0.0241	13	0	4	13	0	0	0	9	0	0	3	1	11.0769	5.0242	3	10.1429	4.3397	2.499	3.3859	36.3333	5.903	30.4303	0	83.6862	0	0	0	2.2258	0	0	0	0	-7.1735	0	-3.1313	-5.449	0	0	1.7257	0	0.407	0	0	4.2619	-0.6699	0	0	0.1784	0	0	0	0	2.8059	0	0	0	0	0	0	0	27.6244	0	0	0	0	0	0	0	0	0	0	0	183.2066	1.051	0.134	0.1272	0.1322	0.2413	0.3419	2.9094	4.5311	0.2207	8.8045	-0.2576	-4.2734	4.2734	41.3741	374.9211	207.8447	186.5968	72.391	257.4783	117.4428	34.907	25.9246	112.9968	94.8479	14.8437	17.6716
Erythromycin	1	3	7	5	13	14.5562	23.025	31.2273	38.9634	23.4255	23.4594	19.6629	3.5298	9.4659	0	0	0	0.1037	32.9379	18.4941	16.4719	11.8216	2.1011	4.5313	0	0	0	0.0599	67	0	14	51	0	0	0	37	0	0	13	1	45.3898	17.854	10.062	44.2582	17.1171	9.574	14.8544	126.0833	1.6603	124.423	0	187.2636	0	0	0	0	0	0	0	0	0	0	-66.5622	-3.4639	0	0	21.5076	0	0.6291	0	0	0	-14.4648	0	-1.1725	0	0	-4.8391	0	0	0	0	0	0	0	1.8833	0	0	57.6102	27.8759	37.0536	0	0	0	0	0	0	0	0	0	733.9352	3.7037	0.1327	0.1319	0.1379	0.2152	0.3502	1.9977	5.0501	0.198	9.373	-0.7272	-4.3229	4.3229	47.1867	902.7106	811.8394	641.3069	172.4665	766.4251	136.2855	76.2923	34.2475	543.6235	268.2159	55.4798	64.7761
Felbamate	1	1	7	2	4	10.3979	17.2484	21.9265	12.6734	8.0922	7.1006	4.5461	1.1498	1.5202	0	0	0	0.1021	9.166	4.9871	3.3677	2.1245	0.3368	0.5998	0	0	0	0.0321	14	0	6	17	0	0	0	11	0	0	4	2	15.0588	8.1633	6.4793	13.1463	6.617	5.0958	5.117	48.3333	8.0946	40.2388	0	0	0	0	0	0	0	0	0	0	3.0802	0	-0.955	-0.5136	0	0	0	0	0.0687	0	0	9.1775	-0.2813	0	0	0.8704	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0815	9.3949	0	0	0	0	0	0	0	0	0	238.2426	1.3321	0.1212	0.1262	0.1418	0.2635	0.4293	3.6218	4.9581	0.2017	9.7577	-0.1586	-4.7996	4.7996	57.1072	450.4268	256.1847	233.5409	95.2177	301.4344	148.9923	56.0111	46.472	139.952	116.2326	25.1312	29.697
Fenfluramine	1	1	5	1	3	10.4316	13.6626	22.1306	12.1818	7.4309	7.2251	4.5247	0.6371	1.3692	0	0	0	0.0833	9.4349	5.3268	3.861	2.3488	0.4053	0.6257	0	0	0	0.0278	16	3	4	16	3	0	0	12	0	0	0	1	14.0625	6.0744	4.8166	13.0368	5.3442	4.1717	4.3544	47.4167	6.9325	40.4842	37.3132	0	0	0	0	4.1741	0	0	0	0	3.3359	0	-1.6851	-0.3846	0	0	3.9369	0	1.4285	0	0	5.4952	0.1884	0	0	0.1361	0	-4.2525	0	0	3.1709	0	0	0	0	0	0	0	0	0	0	0	37.3132	0	0	0	0	0	0	0	231.2603	1.2523	0.1232	0.1227	0.1409	0.1465	0.2903	1.6118	4.7396	0.211	9.676	0.1969	-4.9365	4.9365	57.7487	440.2839	257.959	227.5998	14.5282	273.148	167.1359	27.2305	25.6675	121.2362	136.7227	12.816	20.114
Flecainide	1	2	9	2	9	13.521	23.6286	28.2674	20.7862	13.0336	13.3604	8.2103	0.9467	2.2621	0	0	0	0.1701	14.7517	8.581	6.3225	3.9109	0.3945	0.8007	0	0	0	0.0962	20	6	11	28	6	0	0	17	0	0	3	2	24.2711	10.8578	9.5805	22.4392	9.5699	8.3756	7.6694	94	-7.4899	101.4899	74.1303	0	0	0	0	4.3558	0	0	0	0	3.0436	0	-3.3027	0	0	0	0	0	0.6058	0	0	2.9199	0.0157	0	0	-1.0388	0	-9.2304	0	0	3.1895	0	0	0	0	0	0	0	0	12.4081	9.1967	0	74.1303	0	0	0	0	0	0	0	414.347	1.9489	0.1344	0.1181	0.137	0.2281	0.3869	4.4769	4.3122	0.2319	9.2772	0.6529	-4.965	4.965	53.1504	647.7893	399.1612	354.0237	57.5322	334.1491	313.6402	35.2111	51.7969	173.7277	225.4334	21.1493	36.5721
Foscarnet_sodium	1	0	1	3	5	5.3349	7.8584	10.4718	6.0774	2.9434	3.5207	1.7321	0.2887	0.866	0	0	0	0	3.9998	2.8463	2.2972	0.7476	0.1225	0.1595	0	0	0	0	3	0	6	7	0	0	0	1	1	0	5	0	7	1.8519	2.6667	6.65	1.6328	2.358	1.5511	34.4722	-2.0903	36.5625	0	73.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0903	0	0	0	0	0	0	0	0	0	0	0	0	0	22.6998	18.6836	0	0	0	-4.821	0	0	0	0	0	0	126.0055	0.7052	0.0663	0.1191	0.1586	0.2711	1.0644	3.0063	5.4463	0.1836	11.4427	0.5501	-5.9964	5.9964	97.9161	236.6727	104.1837	99.9731	96.9266	81.5429	155.1298	34.971	95.6241	39.6997	64.484	46.5454	37.1159
